Index;Time [s];;;;;
1;0.767673739;;;;;
2;3.726242739;;;;;
3;5.530577014;;;;;
4;7.334006389;;;;;
5;9.138012789;;;;;
6;10.96184616;;;;;
7;12.76885369;;;;;
8;14.56859266;;;;;
9;16.36495929;;;;;
10;18.17461566;;;;;
11;19.97320496;;;;;
12;21.79037374;;;;;
13;23.60368821;;;;;
14;25.39820909;;;;;
15;27.21287879;;;;;
16;29.04497419;;;;;
17;30.90196371;;;;;
18;32.70217654;;;;;
19;34.51254466;;;;;
20;36.30742511;;;;;
21;38.10755349;;;;;
22;40.99076931;;;;;
23;42.80088154;;;;;
24;44.60785301;;;;;
25;46.42712634;;;;;
26;48.22648821;;;;;
27;50.05424846;;;;;
28;51.85481906;;;;;
29;53.66244029;;;;;
30;55.46665574;;;;;
31;57.27923779;;;;;
32;67.48920201;;;;;
33;77.28113609;;;;;
34;87.28866364;;;;;
35;97.28004936;;;;;
36;107.2786594;;;;;
37;117.2814544;;;;;
38;127.2849707;;;;;
39;137.28207;;;;;
40;147.2795417;;;;;
41;157.2781793;;;;;
42;167.2893442;;;;;
43;177.294921;;;;;
44;187.2898122;;;;;
45;197.3108372;;;;;
46;207.2860329;;;;;
47;217.2767142;;;;;
48;227.2824391;;;;;
49;237.2789218;;;;;
50;247.2861701;;;;;
51;257.2740691;;;;;
52;267.4930893;;;;;
53;277.2790664;;;;;
54;287.2896232;;;;;
55;297.285217;;;;;
56;307.2830738;;;;;
57;317.3966169;;;;;
58;327.289595;;;;;
59;337.2966152;;;;;
60;347.286774;;;;;
61;357.3025045;;;;;
62;367.3018576;;;;;
63;377.3025599;;;;;
64;387.2863178;;;;;
65;397.28517;;;;;
66;407.2963985;;;;;
67;417.2810888;;;;;
68;427.2889198;;;;;
69;437.2927445;;;;;
70;447.282803;;;;;
71;457.2839117;;;;;
72;467.5194565;;;;;
73;477.2846088;;;;;
74;487.2825758;;;;;
75;497.2850221;;;;;
76;507.2974385;;;;;
77;517.2962824;;;;;
78;527.2974621;;;;;
79;537.3123769;;;;;
80;547.2804241;;;;;
81;557.2898544;;;;;
82;617.4961431;;;;;
83;677.3114679;;;;;
84;737.2923987;;;;;
85;797.2866751;;;;;
86;857.2805416;;;;;
87;917.2864333;;;;;
88;977.2942521;;;;;
89;1037.289763;;;;;
90;1097.289513;;;;;
91;1157.313641;;;;;
92;1217.292418;;;;;
93;1277.303361;;;;;
94;1337.291707;;;;;
95;1397.287828;;;;;
