TRACK_ID;POSITION_X;POSITION_Y;POSITION_T;RADIUS;MEAN_INTENSITY_CH1;MEAN_INTENSITY_CH3
12;140.7123998;99.14387786;5;32.5;70.37375463;1145.545687
12;144.8563311;83.34489611;55;32.5;80.95445488;1015.375463
12;143.2286466;74.99647314;34;32.5;75.91887276;907.5510959
12;143.4124716;82.68225024;37;32.5;78.77625961;1034.749217
12;141.0163442;80.46812682;16;32.5;73.75206376;960.6521492
12;141.7260815;79.38625793;11;32.5;73.16510105;921.8471392
12;146.3589962;83.95370972;47;32.5;79.45715912;1063.145744
12;147.2473969;93.07873611;6;32.5;70.03985198;1089.918588
12;142.1486415;82.30338706;29;32.5;78.50384287;1020.40279
12;143.5797415;83.62240217;30;32.5;78.2587532;1068.177626
12;142.7165098;81.02640794;46;32.5;78.72473669;980.5809849
12;143.4675455;78.64840988;22;32.5;75.70623399;982.8699118
12;142.9068358;83.31451624;35;32.5;79.09735269;1037.091944
12;143.9840066;77.50588843;8;32.5;72.19185881;942.7526331
12;145.7315966;82.50587732;51;32.5;79.61258184;1032.724167
12;140.039089;80.54807606;39;32.5;78.41986906;965.1747794
12;141.4005742;75.97345431;14;32.5;74.49615713;909.6145744
12;140.8427472;79.06426745;28;32.5;76.93766012;957.9555935
12;143.2999606;79.82143385;36;32.5;79.21206946;984.0526615
12;143.4267679;82.19263279;42;32.5;79.71221178;998.5061201
12;140.2403241;82.40138094;23;32.5;76.12154853;993.6865927
12;144.4519897;84.41735367;41;32.5;79.17193282;1048.544549
12;140.6431893;92.33813958;2;32.5;72.59806433;1058.922573
12;139.9199763;77.10680854;20;32.5;73.87247367;915.7278679
12;145.8113183;84.33005172;48;32.5;80.48818673;1060.740393
12;144.0587786;79.00810281;49;32.5;79.2382579;946.4167378
12;139.2096027;79.56643418;17;32.5;72.66154284;943.8098491
12;143.7100152;86.16594551;54;32.5;80.07429547;1062.393965
12;138.5014898;73.75105936;15;32.5;74.57586109;832.4212923
12;143.6364234;82.0106836;25;32.5;76.33589525;1040.356391
12;143.0736347;88.43507805;56;32.5;79.46029035;1085.9462
12;74.00455901;111.1653752;0;32.5;70.77227441;381.8314831
12;142.2848521;78.91214686;38;32.5;76.58383148;957.4748079
