Index;Time [s];;;;;
1;0.998236645;;;;;
2;3.942770045;;;;;
3;5.77795922;;;;;
4;7.71816422;;;;;
5;9.51812512;;;;;
6;11.32003464;;;;;
7;13.12643389;;;;;
8;14.94480307;;;;;
9;16.76661732;;;;;
10;18.58180529;;;;;
11;20.39509104;;;;;
12;22.21065694;;;;;
13;24.03804944;;;;;
14;25.85990302;;;;;
15;27.66379269;;;;;
16;29.48364687;;;;;
17;31.30412272;;;;;
18;33.13102047;;;;;
19;34.93886377;;;;;
20;36.75895477;;;;;
21;38.91037824;;;;;
22;44.11509604;;;;;
23;48.91583789;;;;;
24;53.91097427;;;;;
25;58.92384977;;;;;
26;63.90895582;;;;;
27;68.92275704;;;;;
28;73.90808022;;;;;
29;78.92366552;;;;;
30;83.90433847;;;;;
31;88.90661084;;;;;
32;93.90186797;;;;;
33;98.90683112;;;;;
34;103.9228076;;;;;
35;108.9028044;;;;;
36;113.9067399;;;;;
37;118.9095861;;;;;
38;123.9063256;;;;;
39;128.9119911;;;;;
40;133.9010991;;;;;
41;138.9112404;;;;;
42;144.1241681;;;;;
43;148.9062117;;;;;
44;153.9177975;;;;;
45;158.9073314;;;;;
46;163.9316628;;;;;
47;168.9143615;;;;;
48;173.9023488;;;;;
49;178.9067557;;;;;
50;183.9110003;;;;;
51;188.9109345;;;;;
52;193.909643;;;;;
53;198.9036341;;;;;
54;203.9071477;;;;;
55;208.9223277;;;;;
56;213.9061829;;;;;
57;218.9107383;;;;;
58;223.9021141;;;;;
59;228.9254435;;;;;
60;233.9107081;;;;;
61;238.9338821;;;;;
62;244.1297533;;;;;
63;248.9006813;;;;;
64;253.9100823;;;;;
65;258.9087548;;;;;
66;263.9063328;;;;;
67;268.9067368;;;;;
68;273.9045788;;;;;
69;278.9062697;;;;;
70;283.9122982;;;;;
71;288.9138681;;;;;
72;299.1110739;;;;;
73;308.9104513;;;;;
74;318.9069639;;;;;
75;328.9056158;;;;;
76;338.9009242;;;;;
77;348.9139274;;;;;
78;358.9067709;;;;;
79;368.9248014;;;;;
80;378.9324058;;;;;
81;388.9099361;;;;;
82;398.9177828;;;;;
83;408.9172914;;;;;
84;418.9133506;;;;;
85;428.9140679;;;;;
86;438.9094683;;;;;
87;448.9062392;;;;;
88;458.9164247;;;;;
89;468.916952;;;;;
90;478.9102575;;;;;
91;488.9129805;;;;;
92;499.118162;;;;;
93;508.9128006;;;;;
94;518.9161475;;;;;
95;528.9092932;;;;;
96;538.9291241;;;;;
97;548.9243009;;;;;
98;558.9358104;;;;;
99;568.908871;;;;;
100;578.9087434;;;;;
101;588.9036857;;;;;
102;598.9120472;;;;;
103;608.9071576;;;;;
104;618.9076303;;;;;
105;628.9076014;;;;;
106;638.9135983;;;;;
107;648.9112143;;;;;
108;658.9139946;;;;;
109;668.9073988;;;;;
110;678.9043007;;;;;
111;688.9283506;;;;;
112;699.120853;;;;;
113;708.9318753;;;;;
114;718.9333407;;;;;
115;728.9159554;;;;;
116;738.9117996;;;;;
117;748.9117065;;;;;
118;758.9167684;;;;;
119;768.9195968;;;;;
120;778.912258;;;;;
121;788.9159965;;;;;
122;798.9197456;;;;;
123;808.9179316;;;;;
124;818.9166331;;;;;
125;828.9298683;;;;;
126;838.9189987;;;;;
127;848.9278394;;;;;
128;858.9258503;;;;;
129;868.9127082;;;;;
130;878.9097295;;;;;
131;888.9080132;;;;;
132;949.1276461;;;;;
133;1008.920667;;;;;
134;1068.922475;;;;;
135;1128.914278;;;;;
136;1188.930714;;;;;
137;1248.906239;;;;;
138;1308.912884;;;;;
139;1368.910852;;;;;
140;1428.916881;;;;;
141;1488.932568;;;;;
142;1548.919108;;;;;
143;1608.915678;;;;;
144;1668.922774;;;;;
145;1728.91984;;;;;
146;1788.915206;;;;;
147;1848.922609;;;;;
148;1908.918462;;;;;
149;1968.915733;;;;;
150;2028.942977;;;;;
151;2088.918449;;;;;
152;2149.127076;;;;;
153;2208.923405;;;;;
154;2268.921467;;;;;
155;2328.924422;;;;;
156;2388.923287;;;;;
157;2448.920334;;;;;
158;2508.926074;;;;;
159;2568.925988;;;;;
160;2628.927036;;;;;
161;2688.9274;;;;;
162;2748.931868;;;;;
163;2808.928385;;;;;
164;2868.927274;;;;;
165;2928.931779;;;;;
166;2988.930761;;;;;
167;3048.931725;;;;;
168;3108.93107;;;;;
169;3168.92941;;;;;
170;3228.932783;;;;;
171;3288.931966;;;;;
172;3349.137046;;;;;
173;3408.932501;;;;;
174;3468.934225;;;;;
175;3528.935412;;;;;
