time;bulk
0;0.152380952
1;1.752380952
2;3.276190476
3;4.495238095
4;5.942857143
5;7.238095238
6;8.457142857
7;10.43809524
8;11.65714286
9;12.19047619
10;13.18095238
11;14.32380952
12;15.46666667
13;17.06666667
14;17.67619048
15;18.8952381
16;20.95238095
17;21.25714286
18;22.32380952
19;23.00952381
20;23.77142857
21;25.14285714
22;26.74285714
23;27.73333333
24;28.26666667
25;29.18095238
26;30.4
27;31.46666667
28;32.07619048
29;32.3047619
30;33.98095238
31;34.51428571
32;36.19047619
33;37.02857143
34;38.78095238
35;38.78095238
36;40.38095238
37;41.37142857
38;41.06666667
39;42.74285714
40;43.96190476
41;43.88571429
42;44.03809524
43;46.0952381
44;46.62857143
45;47.77142857
46;47.77142857
47;48.45714286
48;49.14285714
49;50.66666667
50;51.65714286
51;52.4952381
52;53.71428571
53;52.4952381
54;54.17142857
55;53.94285714
56;55.61904762
57;57.14285714
58;58.05714286
59;57.82857143
60;59.65714286
61;58.8952381
62;59.12380952
63;61.56190476
64;61.86666667
65;62.85714286
66;62.01904762
67;62.7047619
68;65.14285714
69;64
70;65.14285714
71;66.36190476
72;66.05714286
73;66.81904762
74;69.33333333
75;69.18095238
76;69.86666667
77;70.32380952
78;70.62857143
79;72.60952381
80;71.61904762
81;73.44761905
82;74.66666667
83;73.9047619
84;75.5047619
85;76.26666667
86;76.19047619
87;75.65714286
88;77.02857143
89;78.55238095
90;78.78095238
91;78.17142857
92;79.54285714
93;79.31428571
94;79.46666667
95;79.31428571
96;80.38095238
97;84.03809524
98;82.43809524
99;82.8952381
100;82.97142857
101;83.04761905
102;85.33333333
103;85.79047619
104;87.54285714
105;87.23809524
106;86.24761905
107;88.15238095
108;89.06666667
109;89.21904762
110;89.6
111;88.83809524
112;90.28571429
113;89.67619048
114;91.35238095
115;89.37142857
116;92.26666667
117;92.64761905
118;92.03809524
119;92.03809524
120;92.19047619
121;93.71428571
122;93.25714286
123;97.75238095
124;93.40952381
125;94.7047619
126;97.6
127;96.15238095
128;97.67619048
129;97.21904762
130;97.82857143
131;99.96190476
