TRACK_ID;POSITION_X;POSITION_Y;POSITION_T;RADIUS;MEAN_INTENSITY_CH1;MEAN_INTENSITY_CH2
0;957.2384694;1223.539944;1;21;10.15197779;684.9139486
0;999.6281011;1258.031234;24;21;49.15614157;682.9583622
0;984.6456954;1261.396939;69;21;176.5877863;706.870923
0;983.8741537;1264.767287;93;21;203.2637058;688.8390007
0;953.8465345;1221.133876;10;21;24.23664122;693.5405968
0;990.0166544;1259.895582;40;21;115.3268563;705.7751561
0;985.2244073;1261.037411;60;21;165.3393477;706.6557946
0;989.5142673;1259.919794;43;21;126.8188758;706.2914643
0;985.2643978;1261.100585;59;21;163.0333102;706.8091603
0;987.0811543;1260.653232;49;21;143.962526;710.5780708
0;983.6612912;1262.088561;85;21;197.2269257;694.7487856
0;983.6122465;1263.408329;89;21;202.2831367;693.8764747
0;984.7457953;1261.265189;64;21;170.777238;708.2255378
0;985.6748181;1260.986775;56;21;157.0784178;704.5773768
0;984.4992466;1261.446577;76;21;180.0298404;700.1269951
0;990.2532063;1260.109581;39;21;110.1790423;706.1471201
0;989.8405596;1259.861971;41;21;119.59195;708.4739764
0;991.8729941;1259.347351;35;21;90.35669674;694.6599584
0;984.3742918;1261.567068;78;21;181.9784872;703.3872311
0;998.9865727;1258.272162;27;21;52.78278973;684.740458
0;986.3477444;1260.766335;52;21;148.6613463;698.5149202
0;952.0986143;1221.47654;22;21;46.65163081;702.07356
0;999.1784948;1258.670051;26;21;52.32824427;687.9299098
0;983.7845615;1264.337631;92;21;203.5315753;691.3039556
0;953.2548121;1221.180087;15;21;34.16377516;700.1339348
0;987.0500166;1260.750914;48;21;141.4149896;709.8549618
0;954.0712727;1221.922374;11;21;26.28313671;699.3761277
0;989.5574953;1260.031042;42;21;122.9701596;706.5773768
0;984.0657492;1261.576757;81;21;165.6530187;635.7314365
0;985.6919557;1261.226995;55;21;154.8591256;700.907703
0;953.6798349;1222.330011;4;21;14.27342124;688.6245663
0;984.702248;1261.328658;67;21;174.0804997;708.1554476
0;983.761893;1261.894932;84;21;194.4739764;694.0222068
0;952.9068208;1221.085302;14;21;32.32546842;698.1519778
0;998.6169817;1258.924749;29;21;55.5870923;688.7168633
0;984.8034292;1261.510018;66;21;172.8494101;709.4857738
0;952.4948706;1221.025206;18;21;39.30534351;703.3081194
0;984.5200635;1261.375729;74;21;177.6169327;696.8029146
0;986.8074059;1260.876499;50;21;145.9229702;709.0978487
0;953.5918;1221.422953;9;21;23.13532269;694.4677307
0;999.2414488;1258.473794;25;21;50.32685635;682.7293546
0;984.8993353;1261.369096;65;21;172.3879251;706.5357391
0;952.3342401;1221.338717;21;21;45.42817488;701.6460791
0;983.4711809;1263.973916;91;21;204.9500347;699.2810548
0;993.7174471;1259.757039;33;21;76.99236641;687.2116586
0;984.8556632;1261.02612;62;21;167.4691187;705.9548924
0;983.5681422;1262.686319;88;21;201.0957668;699.2553782
0;984.6104856;1261.61834;72;21;175.5988897;696.4337266
0;954.4477848;1221.556679;7;21;18.75086745;693.8480222
0;953.1081809;1222.08878;13;21;30.15614157;699.8743928
0;954.4191824;1221.941159;5;21;15.58917418;689.8424705
0;984.2177667;1261.443336;80;21;184.0624566;701.9604441
0;991.3358249;1259.516055;37;21;101.2997918;701.4399722
0;987.5480273;1260.669727;47;21;138.5718251;710.6530187
0;988.2837328;1260.458169;45;21;132.7938931;709.1616933
0;983.523981;1262.66246;87;21;200.2734212;698.407356
0;953.0592766;1221.778433;17;21;37.30048577;704.5142262
0;995.4460791;1259.659102;32;21;71.28452464;682.2185982
0;952.4870481;1220.923923;19;21;41.33379598;703.1693269
0;985.5095196;1260.734941;57;21;159.4101319;701.7661346
0;984.6645077;1261.36036;73;21;176.8091603;694.0506593
0;985.2249109;1261.373812;61;21;166.703678;706.7453158
0;952.1038283;1221.564582;23;21;47.83067314;704.6398334
